Lake,namedLocation,Date,pH,DIC,DOC,TOC,TN,NIT,AMM,TDN,TP,FRP,TDP
TOOK,TOOK.AOS.buoy.c0,2018-03-06T05:00:00Z,7.18,14.32,5.52,5.28,0.2472,0.0335,-0.01,0.2293,0.009,0.004,0.007
TOOK,TOOK.AOS.buoy.c0,2018-03-06T05:00:00Z,7.25,14.36,5.048,5.07,0.2517,0.0405,0,0.2116,0.008,0.005,0.007
TOOK,TOOK.AOS.buoy.c0,2018-03-06T05:00:00Z,7.34,14.33,4.697,5.39,0.2408,0.0371,0.01,0.2218,0.009,0.004,0.008
TOOK,TOOK.AOS.buoy.c0,2018-04-03T04:00:00Z,7.36,14.35,4.958,4.92,0.3035,0.0776,0,0.3235,0.2137,0.079,0.004
TOOK,TOOK.AOS.buoy.c0,2018-05-01T04:00:00Z,7.38,14.21,5.084,4.86,0.472,0.0433,0.03,0.4381,0.1313,0.031,0.1275
TOOK,TOOK.AOS.buoy.c0,2018-06-05T04:00:00Z,6.7,1.098,0.9053,0.77,0.0706,0.0059,0.01,0.0683,0.0082,0.009,5e-4
TOOK,TOOK.AOS.outlet,2018-06-05T04:00:00Z,7.05,5.447,4.42,4.57,0.1937,0.0337,0.03,0.1412,0.024,0.013,5e-4
TOOK,TOOK.AOS.inlet,2018-06-05T04:00:00Z,7.57,4.86,4.798,5.17,0.267,0.0183,0,0.1496,0.0663,0.011,5e-4
TOOK,TOOK.AOS.buoy.c1,2018-07-03T04:00:00Z,7.59,9.888,4.361,2.19,0.5403,0.0046,-0.01,0.2806,0.068,0.01,5e-4
TOOK,TOOK.AOS.buoy.c2,2018-07-03T04:00:00Z,7.55,11.12,4.106,4.12,0.2732,0.0343,0.01,0.2809,0.089,0.01,5e-4
TOOK,TOOK.AOS.inlet,2018-07-03T04:00:00Z,7.46,9.186,4.061,4.13,0.2553,0.0135,-0.02,0.2412,0.07,0.011,5e-4
TOOK,TOOK.AOS.inlet,2018-08-07T04:00:00Z,7.65,10.07,5.685,5.59,0.2195,0.0254,0.03,0.2217,0.017,0.011,5e-4
TOOK,TOOK.AOS.outlet,2018-08-07T04:00:00Z,7.74,10.39,4.514,4.52,0.1577,0.0118,0.02,0.1513,0.005,0.011,0.0022
TOOK,TOOK.AOS.buoy.c1,2018-08-07T04:00:00Z,7.76,10.39,4.697,4.58,0.1844,0.0113,0.02,0.1703,0.008,0.011,0.0051
TOOK,TOOK.AOS.buoy.c2,2018-08-07T04:00:00Z,7.46,10.26,4.426,4.22,0.1926,0.0441,0.05,0.1857,0.006,1.117,0.0044
