time,FLOW,SALT,TEMP,OGM_doc,OGM_poc,OGM_don,NIT_nit,NIT_amm,OGM_pon,OGM_dop,OGM_pop,PHS_frp_ads,PHS_frp
2012-01-04 00:00:00,2.65,0,1,583.3333,58.33333,74.0518,740.5175,24.2958,74.0518,0.422682,0.14707166,1.0838,0.51404634
2012-01-05 00:00:00,2.63,0,1,583.3333,58.33333,74.0332,740.3322,24.3248,74.0332,0.4235595,0.147376985,1.08605,0.515113515
2012-01-06 00:00:00,2.78,0,1,583.3333,58.33333,75.1431,751.4311,23.5386,75.1431,0.417261,0.14518543,1.0699,0.50745357
2012-01-07 00:00:00,2.55,0,1.8,583.3333,58.33333,77.0859,770.859,22.2386,77.0859,0.406185,0.14133155,1.0415,0.49398345
2012-01-08 00:00:00,2.32,0,3.2,583.3333,58.33333,78.5006,785.0064,21.36,78.5006,0.3987555,0.138746465,1.02245,0.484948035
2012-01-09 00:00:00,2.26,0,1,583.3333,58.33333,79.886,798.8597,20.5479,79.886,0.3918525,0.136344575,1.00475,0.476552925
2012-01-10 00:00:00,2.79,0,1,583.3333,58.33333,81.2519,812.5194,19.7905,81.2519,0.385359,0.13408517,0.9881,0.46865583
2012-01-11 00:00:00,2.73,0,1,583.3333,58.33333,82.5024,825.0238,19.1331,82.5024,0.379704,0.13211752,0.9736,0.46177848
2012-01-12 00:00:00,2.39,0,1,583.3333,58.33333,83.5668,835.6677,18.5998,83.5668,0.375258,0.13057054,0.9622,0.45637146
2012-01-13 00:00:00,2.38,0,1.2,583.3333,58.33333,84.6387,846.3865,18.0842,84.6387,0.3709485,0.129071055,0.95115,0.451130445
2012-01-14 00:00:00,2.47,0,1,583.3333,58.33333,85.8246,858.2464,17.5364,85.8246,0.3662295,0.127429085,0.93905,0.445391415
2012-01-15 00:00:00,2.27,0,1,583.3333,58.33333,87.0473,870.4732,16.9962,87.0473,0.361569,0.12580747,0.9271,0.43972353
2012-01-16 00:00:00,2.44,0,1,583.3333,58.33333,88.1355,881.3552,16.5365,88.1355,0.357669,0.12445047,0.9171,0.43498053
2012-01-17 00:00:00,2.39,0,1,583.3333,58.33333,89.032,890.3199,16.1727,89.032,0.354783,0.12344629,0.9097,0.43147071
2012-01-18 00:00:00,1.98,0,1.9,583.3333,58.33333,90.0072,900.0724,15.7891,90.0072,0.351702,0.12237426,0.9018,0.42772374
2012-01-19 00:00:00,2.18,0,1,583.3333,58.33333,90.9311,909.3108,15.4382,90.9311,0.348933,0.12141079,0.8947,0.42435621
2012-01-20 00:00:00,1.83,0,1,583.3333,58.33333,91.7644,917.6445,15.1319,91.7644,0.346632,0.12061016,0.8888,0.42155784
2012-01-21 00:00:00,2.26,0,1,583.3333,58.33333,92.5797,925.7966,14.8409,92.5797,0.3445455,0.119884165,0.88345,0.419020335
2012-01-22 00:00:00,2.4,0,1,583.3333,58.33333,88.947,889.4698,16.2478,88.947,0.361998,0.12595674,0.9282,0.44024526
2012-01-23 00:00:00,2.58,0,1,583.3333,58.33333,72.1359,721.3585,26.0443,72.1359,0.460785,0.16032955,1.1815,0.56038545
2012-01-24 00:00:00,2.71,0,3.3,583.3333,58.33333,66.3705,663.7046,31.4259,66.3705,0.508521,0.17693923,1.3039,0.61843977
2012-01-25 00:00:00,2.53,0,2.4,583.3333,58.33333,64.1884,641.8838,33.8951,64.1884,0.530439,0.18456557,1.3601,0.64509543
2012-01-26 00:00:00,2.45,0,1,583.3333,58.33333,65.1833,651.8334,32.7566,65.1833,0.523692,0.18221796,1.3428,0.63689004
2012-01-27 00:00:00,2.47,0,1.4,583.3333,58.33333,66.5275,665.2754,31.2998,66.5275,0.514137,0.17889331,1.3183,0.62526969
2012-01-28 00:00:00,2.43,0,2.1,583.3333,58.33333,67.7302,677.3021,30.0758,67.7302,0.506259,0.17615217,1.2981,0.61568883
